appId,instanceId,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,y
german_credit,0,36.0,0.0,2.0,0.0,4.0,0.0,4.0,12169.0,48.0,,,,,,,,,,,,1.0
german_credit,1,46.0,0.0,1.0,4.0,0.0,2.0,1.0,6331.0,48.0,,,,,,,,,,,,0.0
german_credit,2,51.0,1.0,1.0,3.0,0.0,2.0,3.0,1595.0,6.0,,,,,,,,,,,,1.0
german_credit,3,50.0,0.0,1.0,4.0,4.0,2.0,3.0,1537.0,15.0,,,,,,,,,,,,1.0
german_credit,4,42.0,0.0,1.0,2.0,0.0,1.0,3.0,3804.0,36.0,,,,,,,,,,,,0.0
german_credit,5,27.0,0.0,0.0,4.0,0.0,2.0,1.0,3643.0,15.0,,,,,,,,,,,,1.0
german_credit,6,23.0,0.0,1.0,1.0,0.0,2.0,3.0,1236.0,9.0,,,,,,,,,,,,1.0
german_credit,7,20.0,0.0,0.0,2.0,0.0,2.0,4.0,2718.0,24.0,,,,,,,,,,,,0.0
german_credit,8,40.0,0.0,1.0,3.0,2.0,2.0,1.0,7678.0,36.0,,,,,,,,,,,,1.0
german_credit,9,50.0,0.0,1.0,0.0,0.0,1.0,2.0,5293.0,27.0,,,,,,,,,,,,0.0
german_credit,10,29.0,0.0,0.0,1.0,4.0,0.0,3.0,3990.0,36.0,,,,,,,,,,,,1.0
german_credit,11,32.0,0.0,1.0,2.0,0.0,2.0,4.0,1530.0,18.0,,,,,,,,,,,,0.0
german_credit,12,22.0,0.0,1.0,1.0,0.0,2.0,1.0,3149.0,24.0,,,,,,,,,,,,1.0
german_credit,13,30.0,0.0,1.0,4.0,1.0,2.0,4.0,2862.0,36.0,,,,,,,,,,,,1.0
german_credit,14,27.0,0.0,1.0,1.0,1.0,2.0,1.0,951.0,12.0,,,,,,,,,,,,0.0
german_credit,15,59.0,0.0,1.0,4.0,4.0,2.0,4.0,5045.0,15.0,,,,,,,,,,,,1.0
german_credit,16,23.0,0.0,0.0,1.0,0.0,2.0,3.0,2101.0,13.0,,,,,,,,,,,,1.0
german_credit,17,36.0,0.0,1.0,2.0,3.0,2.0,2.0,1275.0,24.0,,,,,,,,,,,,1.0
german_credit,18,60.0,0.0,1.0,4.0,0.0,2.0,1.0,2246.0,12.0,,,,,,,,,,,,0.0
german_credit,19,50.0,0.0,1.0,4.0,0.0,2.0,3.0,6224.0,48.0,,,,,,,,,,,,0.0
german_credit,20,22.0,0.0,1.0,1.0,1.0,2.0,3.0,3092.0,24.0,,,,,,,,,,,,0.0
german_credit,21,53.0,0.0,2.0,0.0,4.0,0.0,1.0,7485.0,30.0,,,,,,,,,,,,0.0
german_credit,22,27.0,0.0,2.0,2.0,0.0,2.0,3.0,3416.0,27.0,,,,,,,,,,,,1.0
german_credit,23,48.0,1.0,0.0,4.0,1.0,2.0,4.0,1240.0,10.0,,,,,,,,,,,,0.0
german_credit,24,21.0,0.0,1.0,2.0,0.0,2.0,1.0,1766.0,6.0,,,,,,,,,,,,1.0
german_credit,25,40.0,0.0,2.0,2.0,0.0,2.0,1.0,3857.0,30.0,,,,,,,,,,,,1.0
german_credit,26,19.0,0.0,0.0,1.0,3.0,2.0,1.0,983.0,12.0,,,,,,,,,,,,1.0
german_credit,27,32.0,0.0,2.0,2.0,0.0,2.0,3.0,1505.0,18.0,,,,,,,,,,,,1.0
german_credit,28,22.0,0.0,1.0,1.0,0.0,2.0,3.0,1366.0,9.0,,,,,,,,,,,,0.0
german_credit,29,30.0,0.0,1.0,4.0,1.0,2.0,1.0,3069.0,24.0,,,,,,,,,,,,1.0
german_credit,30,30.0,0.0,1.0,2.0,0.0,2.0,3.0,639.0,12.0,,,,,,,,,,,,0.0
german_credit,31,44.0,0.0,0.0,3.0,0.0,2.0,3.0,760.0,8.0,,,,,,,,,,,,1.0
german_credit,32,28.0,0.0,0.0,2.0,0.0,2.0,3.0,745.0,9.0,,,,,,,,,,,,0.0
german_credit,33,36.0,1.0,1.0,4.0,0.0,2.0,4.0,884.0,18.0,,,,,,,,,,,,0.0
german_credit,34,42.0,1.0,0.0,3.0,0.0,2.0,4.0,1455.0,4.0,,,,,,,,,,,,1.0
german_credit,35,43.0,0.0,0.0,2.0,3.0,2.0,3.0,1516.0,24.0,,,,,,,,,,,,1.0
german_credit,36,20.0,0.0,1.0,3.0,1.0,2.0,3.0,674.0,12.0,,,,,,,,,,,,0.0
german_credit,37,37.0,0.0,1.0,2.0,0.0,2.0,3.0,2100.0,18.0,,,,,,,,,,,,0.0
german_credit,38,45.0,0.0,0.0,2.0,0.0,2.0,4.0,4006.0,28.0,,,,,,,,,,,,0.0
german_credit,39,22.0,0.0,1.0,3.0,0.0,2.0,1.0,1808.0,18.0,,,,,,,,,,,,0.0
german_credit,40,31.0,0.0,1.0,4.0,1.0,2.0,3.0,3621.0,24.0,,,,,,,,,,,,0.0
german_credit,41,24.0,0.0,1.0,4.0,0.0,2.0,1.0,652.0,12.0,,,,,,,,,,,,1.0
german_credit,42,25.0,0.0,1.0,1.0,2.0,2.0,3.0,3213.0,18.0,,,,,,,,,,,,1.0
german_credit,43,25.0,0.0,1.0,2.0,0.0,2.0,1.0,1433.0,15.0,,,,,,,,,,,,1.0
german_credit,44,22.0,0.0,1.0,0.0,0.0,2.0,4.0,3973.0,14.0,,,,,,,,,,,,1.0
