episode,step,reward,app_id,model_name,strategy_name,chosen_mode,with_explanation,true_label,predicted_class,predicted_correct,p_predicted,p_class_0,p_class_1,decision_boundary,decision_boundary_bin,decision_noise,memory_recall_threshold,opportunity_cost,prob_correct,pred_time,recent_prob_correct_history,recent_pred_time_history,reward_without_illegal_penalty,n_selected_features,illegal_action,info_access_mode,info_simulation_sample_count,info_retrieval_candidate_count,info_ddm_a,info_ddm_s,info_ddm_Tnd,info_avg_p_up,info_avg_time,selected_features,selected_feature_slots,feature_order,feature_0_selected,feature_1_selected,feature_2_selected,feature_3_selected,feature_4_selected,feature_5_selected,slot_0_selected,slot_1_selected,slot_2_selected,slot_3_selected,slot_4_selected,slot_5_selected,info_ddm_p_up,info_ddm_rt_dec,info_ddm_v,info_ops_count,sweep_parameter,sweep_value,info_retrieval_rt_sum,info_read_time_sum,info_ddm_rt_mean,info_total_time,info_decision_p1,info_decision_v_ratio_mean,info_n_feature_beliefs,info_read_time,info_retrieve_time,info_decision_time,info_expected_time,info_path_categorical_decisions,info_path_numeric_decisions,info_path_top_leaf,info_path_top_leaf_count,info_path_n_leaves_reached,info_refresh_feature_count,info_refresh_thr_key_count
0,0,0.2986255146225813,breast_cancer,xgboost,lr_calculation,retrieve,False,1,0,False,0.65624949387681,0.65624949387681,0.34375050612319,0.6,0,0.3,0.5,0.01,0.34375050612319,4.51249915006087,0.343751,4.5125,0.2986255146225813,0,False,retrieve,16.0,3.0,0.6,0.3,0.5,0.34375050612319,4.51249915006087,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0,,,,,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,1,0.7403740999053046,breast_cancer,xgboost,lr_calculation,retrieve,False,0,0,True,0.7812490889782611,0.7812490889782611,0.21875091102173896,0.6,0,0.3,0.5,0.01,0.7812490889782611,4.08749890729565,"0.343751,0.781249","4.5125,4.0875",0.7403740999053046,0,False,retrieve,16.0,3.0,0.6,0.3,0.5,0.21875091102173896,4.08749890729565,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0,,,,,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,2,0.8637095883487943,breast_cancer,xgboost,lr_calculation,read,True,0,0,True,0.9994236487107502,0.9994236487107502,0.0005763512892498174,0.6,0,0.3,0.5,0.01,0.9994236487107502,12.571406036195585,"0.343751,0.781249,0.999424","4.5125,4.0875,12.5714",0.8637095883487943,5,False,read,,,0.6,0.3,0.5,,,"3,0,1,2,5","0,1,2,4,5","3,0,1,4,2,5",1,1,1,1,0,1,1,1,1,0,1,1,0.0005763512892498174,1.5714060361955846,-0.5593662516415923,5.0,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,3,0.9087966349130013,breast_cancer,xgboost,lr_calculation,read,True,0,0,True,0.999690641502994,0.999690641502994,0.00030935849700592245,0.6,0,0.3,0.5,0.01,0.999690641502994,8.489400658999273,"0.343751,0.781249,0.999424,0.999691","4.5125,4.0875,12.5714,8.4894",0.9087966349130013,3,False,read,,,0.6,0.3,0.5,,,"3,0,1","0,1,2","3,0,1,4,2,5",1,1,0,1,0,0,1,1,1,0,0,0,0.00030935849700592245,1.4894006589992719,-0.6060525272037788,3.0,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,4,0.19231812060062023,breast_cancer,xgboost,lr_calculation,read,True,1,0,False,0.5712951825848728,0.5712951825848728,0.4287048174151272,0.9,1,0.3,0.5,0.01,0.4287048174151272,22.438669681450698,"0.343751,0.781249,0.999424,0.999691,0.428705","4.5125,4.0875,12.5714,8.4894,22.4387",0.19231812060062023,6,False,read,,,0.9,0.3,0.5,,,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1,0.4287048174151272,9.438669681450698,-0.014356871125809795,6.0,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,5,0.8082697700924673,breast_cancer,xgboost,lr_calculation,read,True,0,0,True,0.9920076937614145,0.9920076937614145,0.007992306238585458,0.9,1,0.3,0.5,0.01,0.9920076937614145,17.173792366894727,"0.781249,0.999424,0.999691,0.428705,0.992008","4.0875,12.5714,8.4894,22.4387,17.1738",0.8082697700924673,6,False,read,,,0.9,0.3,0.5,,,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1,0.007992306238585458,4.173792366894727,-0.24106257521546093,6.0,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,6,-0.15776688614827272,breast_cancer,xgboost,lr_calculation,read,True,1,0,False,0.8919187596430362,0.8919187596430362,0.1080812403569637,1.2000000000000002,2,0.3,0.5,0.01,0.1080812403569637,25.384812650523642,"0.999424,0.999691,0.428705,0.992008,0.108081","12.5714,8.4894,22.4387,17.1738,25.3848",-0.15776688614827272,6,False,read,,,1.2000000000000002,0.3,0.5,,,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1,0.1080812403569637,12.384812650523642,-0.07914344557226524,6.0,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,7,0.381750204877417,breast_cancer,xgboost,lr_calculation,retrieve,False,1,0,False,0.5624997975507243,0.5624997975507243,0.4375002024492757,0.6,0,0.3,0.5,0.01,0.4375002024492757,5.574999757185869,"0.999691,0.428705,0.992008,0.108081,0.4375","8.4894,22.4387,17.1738,25.3848,5.575",0.381750204877417,0,False,retrieve,16.0,3.0,0.6,0.3,0.5,0.4375002024492757,5.574999757185869,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0,,,,,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,8,0.5067497999789475,breast_cancer,xgboost,lr_calculation,retrieve,False,0,0,True,0.5624997975507247,0.5624997975507247,0.43750020244927534,0.6,0,0.3,0.5,0.01,0.5624997975507247,5.574999757177717,"0.428705,0.992008,0.108081,0.4375,0.5625","22.4387,17.1738,25.3848,5.575,5.575",0.5067497999789475,0,False,retrieve,16.0,3.0,0.6,0.3,0.5,0.43750020244927534,5.574999757177717,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0,,,,,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,9,0.44,breast_cancer,xgboost,lr_calculation,retrieve,False,1,0,False,0.5,0.5,0.5,0.6,0,0.3,0.5,0.01,0.5,6.0,"0.992008,0.108081,0.4375,0.5625,0.5","17.1738,25.3848,5.575,5.575,6",0.44,0,False,retrieve,16.0,3.0,0.6,0.3,0.5,0.5,6.0,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0,,,,,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,10,0.44,breast_cancer,xgboost,lr_calculation,retrieve,False,1,0,False,0.5,0.5,0.5,0.6,0,0.3,0.5,0.01,0.5,6.0,"0.108081,0.4375,0.5625,0.5,0.5","25.3848,5.575,5.575,6,6",0.44,0,False,retrieve,16.0,3.0,0.6,0.3,0.5,0.5,6.0,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0,,,,,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,11,0.4733748999894329,breast_cancer,xgboost,lr_calculation,retrieve,False,0,0,True,0.5312498987753622,0.5312498987753622,0.46875010122463784,0.6,0,0.3,0.5,0.01,0.5312498987753622,5.787499878592934,"0.4375,0.5625,0.5,0.5,0.53125","5.575,5.575,6,6,5.7875",0.4733748999894329,0,False,retrieve,16.0,3.0,0.6,0.3,0.5,0.46875010122463784,5.787499878592934,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0,,,,,decision_noise,0.3,,,,,,,,,,,,,,,,,,
0,12,0.8518887385596918,breast_cancer,xgboost,lr_calculation,read,True,0,0,True,0.9996325070489278,0.9996325070489278,0.000367492951072228,0.9,1,0.3,0.5,0.01,0.9996325070489278,13.7743768489236,"0.5625,0.5,0.5,0.53125,0.999633","5.575,6,6,5.7875,13.7744",0.8518887385596918,5,False,read,,,0.9,0.3,0.5,,,"3,0,1,4,5","0,1,2,3,5","3,0,1,4,2,5",1,1,0,1,1,1,1,1,1,1,0,1,0.000367492951072228,2.7743768489236,-0.3954219429879011,5.0,decision_noise,0.3,,,,,,,,,,,,,,,,,,
