episode,step,reward,app_id,model_name,chosen_mode,with_explanation,decision_boundary,decision_boundary_bin,decision_noise,memory_recall_threshold,opportunity_cost,prob_correct,pred_time,reward_without_illegal_penalty,n_selected_features,illegal_action,selected_features,selected_feature_slots,feature_order,feature_0_selected,feature_1_selected,feature_2_selected,feature_3_selected,feature_4_selected,feature_5_selected,slot_0_selected,slot_1_selected,slot_2_selected,slot_3_selected,slot_4_selected,slot_5_selected
0,0,0.9548168386550525,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999999999988123,15.932276994961317,0.9548168386550525,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,1,0.9534076473320922,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999999995322284,16.60887374323282,0.9534076473320922,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,2,0.6463796405894408,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.6562486713067703,4.738431321578876,0.6463796405894408,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
0,3,0.8931477243346047,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9062366113768361,5.324122620278693,0.8931477243346047,1,False,3,0,"3,0,1,4,2,5",0,0,0,1,0,0,1,0,0,0,0,0
0,4,0.9444510497555056,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9998860004403584,20.854482742154282,0.9444510497555056,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,5,-0.032339412870531575,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.05037480162966201,33.95211327898582,-0.032339412870531575,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,6,0.9356201505418961,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9980139420411969,24.195640574317174,0.9356201505418961,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,7,0.6463796405894762,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.6562486713067718,4.738431321562572,0.6463796405894762,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
0,8,0.9483911075753156,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999944985563252,19.014830700205533,0.9483911075753156,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,9,0.7981853948422404,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.8124899282837565,5.907792601589041,0.7981853948422404,1,False,3,0,"3,0,1,4,2,5",0,0,0,1,0,0,1,0,0,0,0,0
0,10,0.9247197736020168,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9374801297501855,5.166384629272124,0.9247197736020168,1,False,3,0,"3,0,1,4,2,5",0,0,0,1,0,0,1,0,0,0,0,0
0,11,0.9455458654255461,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999412025537393,20.355331652213533,0.9455458654255461,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,12,0.8931070868136187,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9062351933317411,5.342953121297522,0.8931070868136187,1,False,3,0,"3,0,1,4,2,5",0,0,0,1,0,0,1,0,0,0,0,0
0,13,0.9432457817462722,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9997892933482496,21.386737623310736,0.9432457817462722,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,14,0.9517745271066975,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999999645829036,17.392969227843146,0.9517745271066975,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,15,0.9512956922197061,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.999999907818183,17.62284562762687,0.9512956922197061,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,16,0.21050294523533652,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.2187523916478096,3.9608180768866807,0.21050294523533652,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
0,17,0.08712359249477297,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.09375345460238955,3.1832048321944866,0.08712359249477297,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
0,18,0.9871829538218432,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999719893003636,5.180154475684935,0.9871829538218432,1,False,3,0,"3,0,1,4,2,5",0,0,0,1,0,0,1,0,0,0,0,0
0,19,0.9399991926952385,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9992872659231292,22.704487779807394,0.9399991926952385,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,20,0.9459461601308483,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999551678777702,20.169842793875347,0.9459461601308483,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,21,0.8931032879158799,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.906234728619142,5.344553968204446,0.8931032879158799,1,False,3,0,"3,0,1,4,2,5",0,0,0,1,0,0,1,0,0,0,0,0
0,22,0.9246916865544722,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9374789826006033,5.179319319614237,0.9246916865544722,1,False,3,0,"3,0,1,4,2,5",0,0,0,1,0,0,1,0,0,0,0,0
0,23,0.9136780295770894,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9857112462131072,28.82383105199296,0.9136780295770894,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,24,0.9224033839034643,breast_cancer,xgboost,retrieve,False,1.5,3,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9374999999872649,6.288096332419346,0.9224033839034643,1,False,3,0,"3,0,1,4,2,5",0,0,0,1,0,0,1,0,0,0,0,0
0,25,0.5289159430567185,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.6368132070694271,46.043285553223214,0.5289159430567185,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,26,0.9522615470610619,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999999881668135,17.15914698923109,0.9522615470610619,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,27,0.9245633587266955,breast_cancer,xgboost,retrieve,False,1.5,3,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9374999999999674,6.211287406134282,0.9245633587266955,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
0,28,0.9465542125247044,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999712975223973,19.885642108393984,0.9465542125247044,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,29,-0.007289671451960952,breast_cancer,xgboost,retrieve,False,1.5,3,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,3.727703530559764e-14,3.500000002179977,-0.007289671451960952,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
0,30,0.021136843637414686,breast_cancer,xgboost,retrieve,False,1.5,3,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.03125000000003495,4.855643704150027,0.021136843637414686,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
0,31,0.9447336428015786,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999029097428573,20.726919640139155,0.9447336428015786,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,32,0.9378440051240572,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9987420705943715,23.47749557434215,0.9378440051240572,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,33,0.9474417611947417,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999862328260043,19.46667304997764,0.9474417611947417,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,34,0.9514544317908128,breast_cancer,xgboost,read,True,1.8000000000000003,4,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999999320547899,17.546641415303565,0.9514544317908128,6,False,"3,0,1,4,2,5","0,1,2,3,4,5","3,0,1,4,2,5",1,1,1,1,1,1,1,1,1,1,1,1
0,35,0.02543391612450781,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.03125398607967882,2.794398209840073,0.02543391612450781,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
0,36,0.9872003017030204,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999719653724563,5.17181372504422,0.9872003017030204,1,False,3,0,"3,0,1,4,2,5",0,0,0,1,0,0,1,0,0,0,0,0
0,37,-0.007289671451948089,breast_cancer,xgboost,retrieve,False,1.5,3,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,3.7277035300852e-14,3.500000002173801,-0.007289671451948089,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
0,38,0.9945805743026693,breast_cancer,xgboost,retrieve,False,0.6,0,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,0.9999957481816741,2.5999948986900376,0.9945805743026693,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
0,39,-0.007289671451948089,breast_cancer,xgboost,retrieve,False,1.5,3,0.31148567802267857,-0.7565973639198303,0.0020827632707022437,3.7277035300852e-14,3.500000002173801,-0.007289671451948089,0,False,,,"3,0,1,4,2,5",0,0,0,0,0,0,0,0,0,0,0,0
1,0,0.7616512912325971,wine_binary,xgboost,read,True,0.6,0,0.40481978012678277,-0.07222941708077191,0.018451803146066283,0.8603654093354313,5.241445366462873,0.7616512912325971,1,False,1,3,"5,0,3,1,4,2",0,1,0,0,0,0,0,0,0,1,0,0
1,1,0.08750450011422192,wine_binary,xgboost,read,True,0.6,0,0.40481978012678277,-0.07222941708077191,0.018451803146066283,0.18869187410170118,5.3754840761253675,0.08750450011422192,1,False,1,3,"5,0,3,1,4,2",0,1,0,0,0,0,0,0,0,1,0,0
1,2,0.04092047256173455,wine_binary,xgboost,read,True,0.6,0,0.40481978012678277,-0.07222941708077191,0.018451803146066283,0.13963459066456874,5.241445366462873,0.04092047256173455,1,False,1,3,"5,0,3,1,4,2",0,1,0,0,0,0,0,0,0,1,0,0
1,3,0.48866470472340207,wine_binary,xgboost,retrieve,False,0.6,0,0.40481978012678277,-0.07222941708077191,0.018451803146066283,0.5624174886866047,3.997050227523476,0.48866470472340207,0,False,,,"5,0,3,1,4,2",0,0,0,0,0,0,0,0,0,0,0,0
