counterfactual_accuracy,participantId,instanceId,xai_property,phase,exp_property,qid,original_attribution_sum,changed_attribution_sum,p_original_high_income,p_new_high_income,confidence_delta,probability_income_increases,agent_response_increases,ground_truth_increases,counterfactual_correct,changed_feature_visible,changed_feature_names,retrieved_exemplar_count,effective_lapse_rate
1,1,10,faithful,testing,faithful,0,-0.06435643564356433,-0.17945544554455442,0.13793948508173554,0.0811225005967316,-0.05681698448500394,0.09986416320406027,0,0,1,True,education,0,0.0
1,1,11,faithful,testing,faithful,1,0.047142214221422146,-0.0036003600360035998,0.22158900446565616,0.17966747718862702,-0.041921527277029136,0.17204077835876266,0,0,1,True,education,0,0.0
1,1,12,faithful,testing,faithful,2,0.09430693069306934,0.015099009900990112,0.2664431145216544,0.19435012560333065,-0.07209298891832377,0.055082344233767004,0,0,1,True,education,0,0.0
1,1,13,faithful,testing,faithful,3,-0.0010801080108010818,-0.0010801080108010818,0.1815946726377211,0.1815946726377211,0.0,0.5485465804182781,1,1,1,False,education,0,0.0
1,1,14,faithful,testing,faithful,4,0.047142214221422125,0.05456795679567955,0.2215890044656561,0.22827737627401593,0.006688371808359822,0.6169356441511066,1,1,1,True,relationship,0,0.0
1,1,15,faithful,testing,faithful,5,0.0,0.0,0.18242552380635632,0.18242552380635632,0.0,0.5485465804182781,1,1,1,False,race,0,0.0
0,1,16,faithful,testing,faithful,6,0.014851485148514854,0.013613861386138616,0.19414995824318967,0.1931514689653311,-0.0009984892778585608,0.538110076952374,1,0,0,True,race,0,0.0
1,1,17,faithful,testing,faithful,7,0.03712871287128715,0.08415841584158416,0.2127937197297605,0.2563210404117876,0.04352732068202711,0.8837549947596567,1,1,1,True,education,0,0.0
1,1,18,faithful,testing,faithful,8,0.0021377137713771335,0.0033753375337533705,0.18407861685603066,0.18504096071896772,0.0009623438629370595,0.5585651344002276,1,1,1,True,occupation,0,0.0
1,1,19,faithful,testing,faithful,9,-0.0018001800180018042,-0.0005625562556255664,0.1810424094869366,0.18199242086340967,0.0009500113764730755,0.5584370294621266,1,1,1,True,sex,0,0.0
1,1,20,faithful,testing,faithful,10,0.0,0.0,0.18242552380635632,0.18242552380635632,0.0,0.5485465804182781,1,1,1,False,marital,0,0.0
1,1,21,faithful,testing,faithful,11,-0.0015651565156515478,-0.0015376537653765206,0.18122251809010592,0.1812436037449841,2.108565487818348e-05,0.5487665468249826,1,1,1,True,hours-per-week,0,0.0
1,1,22,faithful,testing,faithful,12,-0.0024752475247524983,-0.011138613861386149,0.18052585175464023,0.17399850499791344,-0.006527346756726782,0.4799661838139919,0,0,1,True,occupation,0,0.0
1,1,23,faithful,testing,faithful,13,0.16721672167216717,0.07934543454345432,0.3461419418053378,0.251609627060356,-0.0945323147449818,0.022148841492342013,0,0,1,True,education,0,0.0
1,1,24,faithful,testing,faithful,14,-0.0012376237623762379,0.0037128712871286997,0.18147375316676298,0.18530409207842502,0.00383033891166204,0.5881108208290439,1,1,1,True,occupation,0,0.0
1,1,25,faithful,testing,faithful,15,0.0947823416526956,0.09538740215874619,0.2669234777294336,0.2675356368734334,0.0006121591439998131,0.5549245868677294,1,1,1,True,hours-per-week,0,0.0
1,1,26,faithful,testing,faithful,16,0.09180904612026697,0.08809617483313825,0.2639282719672285,0.260218445354041,-0.003709826613187528,0.5096277506485152,1,1,1,True,occupation,0,0.0
1,1,27,faithful,testing,faithful,17,0.049257425742574246,0.033168316831683156,0.2234797945066632,0.2093861925002002,-0.01409360200646298,0.40157122886127994,0,0,1,True,occupation,0,0.0
1,1,28,faithful,testing,faithful,18,0.19678217821782176,0.1992574257425742,0.3814765982935796,0.38449869796111674,0.003022099667537137,0.5798389481715998,1,1,1,True,education,0,0.0
1,1,29,faithful,testing,faithful,19,-0.0005975597559756041,-0.0005975597559756041,0.18196549867414197,0.18196549867414197,0.0,0.5485465804182781,1,1,1,False,relationship,0,0.0
1,1,30,faithful,testing,faithful,20,2.2502250225022278e-05,2.2502250225022278e-05,0.18244286456751688,0.18244286456751688,0.0,0.5485465804182781,1,1,1,False,marital,0,0.0
1,1,31,faithful,testing,faithful,21,4.5004500450044555e-05,4.5004500450044555e-05,0.18246020660916462,0.18246020660916462,0.0,0.5485465804182781,1,1,1,False,occupation,0,0.0
1,1,32,faithful,testing,faithful,22,-0.0005175517551755213,0.0007200720072007042,0.18202703965731762,0.18298106340678172,0.0009540237494641002,0.5584787092428742,1,1,1,True,marital,0,0.0
1,1,33,faithful,testing,faithful,23,0.0021852185218521852,0.0022527252725272526,0.18411548367094344,0.18416788319007305,5.239951912960894e-05,0.5490931791374949,1,1,1,True,age,0,0.0
