participantId,trialId,block,trialWithinBlock,withinCondition,validation_condition,explanation_property,dataId,instanceId,CV_num_training_instances_levels,CV_num_test_instances_levels,CV_same_instructions_levels,CV_same_display_format_levels,task,function,memory_budget,time_pressure,cog_param_seed,forward_accuracy,prob_correct,pred_time,agent_prediction,ai_prediction,cognitive_correct_vs_ai
1,1,1,1,single_condition,feature_check,faithful,sim2real,525,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,2,1,2,single_condition,feature_check,faithful,sim2real,731,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,3,1,3,single_condition,feature_check,faithful,sim2real,672,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,4,1,4,single_condition,feature_check,faithful,sim2real,26,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,5,1,5,single_condition,feature_check,faithful,sim2real,602,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,6,1,6,single_condition,feature_check,faithful,sim2real,676,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,7,1,7,single_condition,feature_check,faithful,sim2real,240,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,8,1,8,single_condition,feature_check,faithful,sim2real,0,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,9,1,9,single_condition,feature_check,faithful,sim2real,499,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,10,1,10,single_condition,feature_check,faithful,sim2real,309,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,11,1,11,single_condition,feature_check,faithful,sim2real,469,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,12,1,12,single_condition,feature_check,faithful,sim2real,155,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,13,1,13,single_condition,feature_check,faithful,sim2real,508,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,14,1,14,single_condition,feature_check,faithful,sim2real,501,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,15,1,15,single_condition,feature_check,faithful,sim2real,797,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,16,1,16,single_condition,feature_check,faithful,sim2real,91,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,17,1,17,single_condition,feature_check,faithful,sim2real,214,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,18,1,18,single_condition,feature_check,faithful,sim2real,480,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,19,1,19,single_condition,feature_check,faithful,sim2real,19,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,20,1,20,single_condition,feature_check,faithful,sim2real,8,10,30,True,True,forbidden_features,wiggle,all_features,False,42,0,0.8,8.0,1,0,False
1,21,1,21,single_condition,feature_check,faithful,sim2real,369,10,30,True,True,forbidden_features,wiggle,all_features,False,42,0,0.8,8.0,1,0,False
1,22,1,22,single_condition,feature_check,faithful,sim2real,55,10,30,True,True,forbidden_features,wiggle,all_features,False,42,0,0.8,8.0,1,0,False
1,23,1,23,single_condition,feature_check,faithful,sim2real,534,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,24,1,24,single_condition,feature_check,faithful,sim2real,313,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,25,1,25,single_condition,feature_check,faithful,sim2real,502,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,26,1,26,single_condition,feature_check,faithful,sim2real,340,10,30,True,True,forbidden_features,wiggle,all_features,False,42,0,0.8,8.0,1,0,False
1,27,1,27,single_condition,feature_check,faithful,sim2real,127,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,28,1,28,single_condition,feature_check,faithful,sim2real,235,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,1,1,True
1,29,1,29,single_condition,feature_check,faithful,sim2real,223,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
1,30,1,30,single_condition,feature_check,faithful,sim2real,272,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.8,8.0,0,0,True
2,1,1,1,single_condition,feature_check,sparse,sim2real,189,10,30,True,True,forbidden_features,wiggle,all_features,False,42,0,0.65,8.0,0,1,False
2,2,1,2,single_condition,feature_check,sparse,sim2real,265,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.65,8.0,1,1,True
2,3,1,3,single_condition,feature_check,sparse,sim2real,536,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.65,8.0,1,1,True
2,4,1,4,single_condition,feature_check,sparse,sim2real,513,10,30,True,True,forbidden_features,wiggle,all_features,False,42,0,0.65,8.0,1,0,False
2,5,1,5,single_condition,feature_check,sparse,sim2real,667,10,30,True,True,forbidden_features,wiggle,all_features,False,42,0,0.65,8.0,1,0,False
2,6,1,6,single_condition,feature_check,sparse,sim2real,31,10,30,True,True,forbidden_features,wiggle,all_features,False,42,0,0.65,8.0,1,0,False
2,7,1,7,single_condition,feature_check,sparse,sim2real,482,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.65,8.0,0,0,True
2,8,1,8,single_condition,feature_check,sparse,sim2real,478,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.65,8.0,1,1,True
2,9,1,9,single_condition,feature_check,sparse,sim2real,378,10,30,True,True,forbidden_features,wiggle,all_features,False,42,0,0.65,8.0,0,1,False
2,10,1,10,single_condition,feature_check,sparse,sim2real,675,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.65,8.0,1,1,True
2,11,1,11,single_condition,feature_check,sparse,sim2real,192,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.65,8.0,1,1,True
2,12,1,12,single_condition,feature_check,sparse,sim2real,640,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.65,8.0,1,1,True
2,13,1,13,single_condition,feature_check,sparse,sim2real,326,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.65,8.0,1,1,True
2,14,1,14,single_condition,feature_check,sparse,sim2real,196,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.65,8.0,1,1,True
2,15,1,15,single_condition,feature_check,sparse,sim2real,742,10,30,True,True,forbidden_features,wiggle,all_features,False,42,0,0.65,8.0,0,1,False
2,16,1,16,single_condition,feature_check,sparse,sim2real,637,10,30,True,True,forbidden_features,wiggle,all_features,False,42,1,0.65,8.0,0,0,True
