appId,modelName,instanceId,pred,i_max
mushrooms,mlp,0,1,0
mushrooms,mlp,1,1,0
mushrooms,mlp,2,0,0
mushrooms,mlp,3,1,0
mushrooms,mlp,4,0,0
mushrooms,mlp,5,1,0
mushrooms,mlp,6,0,0
mushrooms,mlp,7,0,0
mushrooms,mlp,8,1,0
mushrooms,mlp,9,0,0
mushrooms,mlp,10,0,0
mushrooms,mlp,11,0,0
mushrooms,mlp,12,1,0
mushrooms,mlp,13,0,0
mushrooms,mlp,14,0,0
mushrooms,mlp,15,1,0
mushrooms,mlp,16,0,0
mushrooms,mlp,17,0,0
mushrooms,mlp,18,1,0
mushrooms,mlp,19,0,0
mushrooms,mlp,20,0,0
mushrooms,mlp,21,0,0
mushrooms,mlp,22,0,0
mushrooms,mlp,23,1,0
mushrooms,mlp,24,1,0
mushrooms,mlp,25,0,0
mushrooms,mlp,26,0,0
mushrooms,mlp,27,0,0
mushrooms,mlp,28,0,0
mushrooms,mlp,29,1,0
mushrooms,mlp,30,0,0
mushrooms,mlp,31,1,0
mushrooms,mlp,32,0,0
mushrooms,mlp,33,1,0
mushrooms,mlp,34,1,0
mushrooms,mlp,35,0,0
mushrooms,mlp,36,1,0
mushrooms,mlp,37,0,0
mushrooms,mlp,38,1,0
mushrooms,mlp,39,0,0
mushrooms,mlp,40,1,0
mushrooms,mlp,41,1,0
mushrooms,mlp,42,1,0
mushrooms,mlp,43,0,0
mushrooms,mlp,44,0,0
mushrooms,mlp,45,1,0
mushrooms,mlp,46,1,0
mushrooms,mlp,47,0,0
mushrooms,mlp,48,0,0
mushrooms,mlp,49,0,0
mushrooms,mlp,50,0,0
mushrooms,mlp,51,0,0
mushrooms,mlp,52,1,0
mushrooms,mlp,53,1,0
mushrooms,mlp,54,0,0
mushrooms,mlp,55,1,0
mushrooms,mlp,56,0,0
mushrooms,mlp,57,0,0
mushrooms,mlp,58,1,0
mushrooms,mlp,59,0,0
mushrooms,mlp,60,0,0
mushrooms,mlp,61,1,0
mushrooms,mlp,62,0,0
mushrooms,mlp,63,1,0
mushrooms,mlp,64,0,0
mushrooms,mlp,65,1,0
mushrooms,mlp,66,0,0
mushrooms,mlp,67,1,0
mushrooms,mlp,68,1,0
mushrooms,mlp,69,1,0
mushrooms,mlp,70,1,0
mushrooms,mlp,71,0,0
mushrooms,mlp,72,0,0
mushrooms,mlp,73,0,0
mushrooms,mlp,74,1,0
mushrooms,mlp,75,0,0
mushrooms,mlp,76,1,0
mushrooms,mlp,77,1,0
mushrooms,mlp,78,1,0
mushrooms,mlp,79,0,0
mushrooms,mlp,80,0,0
mushrooms,mlp,81,1,0
mushrooms,mlp,82,0,0
mushrooms,mlp,83,0,0
mushrooms,mlp,84,0,0
mushrooms,mlp,85,1,0
mushrooms,mlp,86,1,0
mushrooms,mlp,87,1,0
mushrooms,mlp,88,1,0
