appId,modelName,instanceId,qid,pred,i_max
adult_sim2real,synthetic_ai,0,12,0,0
adult_sim2real,synthetic_ai,1,14,0,0
adult_sim2real,synthetic_ai,2,16,0,0
adult_sim2real,synthetic_ai,3,17,0,0
adult_sim2real,synthetic_ai,4,18,0,0
adult_sim2real,synthetic_ai,5,0,1,0
adult_sim2real,synthetic_ai,6,1,1,0
adult_sim2real,synthetic_ai,7,3,1,0
adult_sim2real,synthetic_ai,8,5,1,0
adult_sim2real,synthetic_ai,9,9,1,0
adult_sim2real,synthetic_ai,10,0,0,0
adult_sim2real,synthetic_ai,11,1,0,0
adult_sim2real,synthetic_ai,12,2,1,0
adult_sim2real,synthetic_ai,13,3,0,0
adult_sim2real,synthetic_ai,14,4,0,0
adult_sim2real,synthetic_ai,15,5,0,0
adult_sim2real,synthetic_ai,16,6,0,0
adult_sim2real,synthetic_ai,17,7,0,0
adult_sim2real,synthetic_ai,18,8,0,0
adult_sim2real,synthetic_ai,19,9,0,0
adult_sim2real,synthetic_ai,20,10,0,0
adult_sim2real,synthetic_ai,21,11,0,0
adult_sim2real,synthetic_ai,22,12,0,0
adult_sim2real,synthetic_ai,23,13,0,0
adult_sim2real,synthetic_ai,24,14,0,0
adult_sim2real,synthetic_ai,25,15,1,0
adult_sim2real,synthetic_ai,26,16,0,0
adult_sim2real,synthetic_ai,27,17,0,0
adult_sim2real,synthetic_ai,28,18,0,0
adult_sim2real,synthetic_ai,29,19,0,0
adult_sim2real,synthetic_ai,30,20,0,0
adult_sim2real,synthetic_ai,31,21,0,0
adult_sim2real,synthetic_ai,32,22,0,0
adult_sim2real,synthetic_ai,33,23,0,0
adult_sim2real,synthetic_ai,34,24,0,0
adult_sim2real,synthetic_ai,35,25,0,0
adult_sim2real,synthetic_ai,36,26,0,0
adult_sim2real,synthetic_ai,37,27,0,0
adult_sim2real,synthetic_ai,38,28,0,0
