dataId,modelName,expMethod,instanceId,pred,i_max,a0_i,a1_i,a2_i,a3_i,a4_i,a5_i,intercept
wine_quality,mlp,logistic_regression,209,1,1.5332878370491398,1.0,0.08381030556188351,-0.5682915847670796,-0.14966171298107006,-0.480661964037609,0.03162564571451851,0.16230984092973788
wine_quality,mlp,logistic_regression,280,0,1.5684382346773382,0.9884510172572039,0.08609806116300747,-1.0,-0.1557035350619826,-0.4513789987528861,0.03710025693644647,0.16230984092973788
wine_quality,mlp,logistic_regression,33,1,1.9592011251183452,1.0,0.061143848567623206,-0.17789997436186844,-0.12679755818579688,-0.3898491502787248,0.02815369982629419,0.16230984092973788
wine_quality,mlp,logistic_regression,210,1,1.4310686479125305,1.0,0.09588467161740911,-0.27834689866142676,-0.17947636615685333,-0.4931466903762482,0.08471155102103171,0.16230984092973788
wine_quality,mlp,logistic_regression,93,1,2.0443837827321865,1.0,0.09162313065663537,-0.37750798130956004,-0.0638465105836675,-0.36377371369209954,0.023422743857315267,0.16230984092973788
wine_quality,mlp,logistic_regression,84,0,1.5332878370491398,1.0,0.08096927825470102,-0.7631344138300783,-0.15927301564957913,-0.47337920700673614,0.029253722285929613,0.16230984092973788
wine_quality,mlp,logistic_regression,329,0,2.1659385145544197,0.8258940860371862,0.08346436073811014,-1.0,-0.08747909669059069,-0.343358352907531,0.020708979626163002,0.16230984092973788
wine_quality,mlp,logistic_regression,94,0,1.635507026185749,1.0,0.07590869836378221,-0.7458827050067921,-0.11842497930841556,-0.41648266770304193,0.025942912500190967,0.16230984092973788
wine_quality,mlp,logistic_regression,266,0,1.7206896837995902,1.0,0.08101147172956018,-0.6510837109778422,-0.10032731781272569,-0.43869597797851984,0.02959033188140593,0.16230984092973788
wine_quality,mlp,logistic_regression,126,1,1.7888358098906632,1.0,0.0767077372939273,-0.27834689866142676,-0.11062805520488009,-0.4144929144428212,0.03862846726559046,0.16230984092973788
wine_quality,mlp,logistic_regression,9,1,1.9932741881638816,1.0,0.08195271078411036,-0.3622078232581387,-0.08871971694008389,-0.36301742738504744,0.035274758681578304,0.16230984092973788
wine_quality,mlp,logistic_regression,361,1,1.8740184675045042,1.0,0.0906545986200959,-0.22584055186847582,-0.0718975368449511,-0.39684405130047223,0.03363818680544241,0.16230984092973788
wine_quality,mlp,logistic_regression,56,0,1.9592011251183452,1.0,0.07893114996911359,-0.7497213205250169,-0.14184133627563722,-0.3841496012980417,0.025678649292114483,0.16230984092973788
wine_quality,mlp,logistic_regression,72,0,1.8740184675045042,1.0,0.07554549885007991,-0.7040911322958364,-0.07863793092416524,-0.407569566200485,0.031050633974254532,0.16230984092973788
wine_quality,mlp,logistic_regression,132,0,1.6866166207540538,1.0,0.06715155453340436,-0.8708884026300701,-0.1535311984709893,-0.4740412758277246,0.031985028052183485,0.16230984092973788
wine_quality,mlp,logistic_regression,42,1,1.7206896837995902,1.0,0.0797456674837858,-0.2893705382123744,-0.16394951935250296,-0.4412918121677418,0.03769244656321945,0.16230984092973788
wine_quality,mlp,logistic_regression,278,0,2.7883346394263793,0.5743334894227984,0.04764902780089829,-1.0,-0.08154301512944347,-0.2619101721864637,0.016521208167011317,0.16230984092973788
