episode,step,reward,app_id,model_name,strategy_name,chosen_mode,with_explanation,true_label,predicted_class,predicted_correct,p_predicted,p_class_0,p_class_1,decision_boundary,decision_boundary_bin,decision_noise,memory_recall_threshold,opportunity_cost,prob_correct,pred_time,recent_prob_correct_history,recent_pred_time_history,reward_without_illegal_penalty,n_selected_features,illegal_action,info_retrieval_rt_sum,info_read_time_sum,info_ddm_rt_mean,info_total_time,info_decision_p1,info_decision_v_ratio_mean,info_n_feature_beliefs,selected_features,selected_feature_slots,feature_order,feature_0_selected,feature_1_selected,feature_2_selected,feature_3_selected,feature_4_selected,feature_5_selected,slot_0_selected,slot_1_selected,slot_2_selected,slot_3_selected,slot_4_selected,slot_5_selected
0,0,0.8838086642912593,breast_cancer,xgboost,lr_heuristic,retrieve,True,1,1,True,0.9049086859635613,0.09509131403643867,0.9049086859635613,0.9,1,0.32297135604535715,-0.7565973639198303,0.0020827632707022437,0.9049086859635613,7.249994219079375,0.904909,7.24999,0.8838086642912593,3,False,2.0,3.0,2.249994219079375,7.249994219079375,0.9049086859635613,0.9687689280567294,3,"3,2,5","0,4,5","3,0,1,4,2,5",0,0,1,1,0,1,1,0,0,0,1,1
0,1,0.03816179408596792,breast_cancer,xgboost,lr_heuristic,retrieve,True,0,1,False,0.9374529950758597,0.06254700492414034,0.9374529950758597,0.9,1,0.32297135604535715,-0.7565973639198303,0.0020827632707022437,0.06254700492414034,7.867053864766795,"0.904909,0.062547","7.24999,7.86705",0.03816179408596792,4,False,2.5,4.0,1.3670538647667958,7.867053864766795,0.9374529950758597,1.0198804387532865,4,"3,4,2,5","0,3,4,5","3,0,1,4,2,5",0,0,1,1,1,1,1,0,0,1,1,1
0,2,0.2589324461849133,breast_cancer,xgboost,lr_heuristic,retrieve,False,0,1,False,0.714756605581443,0.28524339441855695,0.714756605581443,0.9,1,0.32297135604535715,-0.7565973639198303,0.0020827632707022437,0.28524339441855695,8.791660814850907,"0.904909,0.062547,0.285243","7.24999,7.86705,8.79166",0.2589324461849133,4,False,2.5,4.0,2.2916608148509074,8.791660814850907,0.714756605581443,0.6238587606330537,4,"3,4,2,5","0,3,4,5","3,0,1,4,2,5",0,0,1,1,1,1,1,0,0,1,1,1
0,3,0.855528959350027,breast_cancer,xgboost,lr_heuristic,retrieve,False,0,0,True,0.8723776077246094,0.8723776077246094,0.12762239227539063,0.9,1,0.32297135604535715,-0.7565973639198303,0.0020827632707022437,0.8723776077246094,6.169039254398874,"0.904909,0.062547,0.285243,0.872378","7.24999,7.86705,8.79166,6.16904",0.855528959350027,2,False,1.5,2.0,2.669039254398874,6.169039254398874,0.12762239227539063,-0.5830374788216108,2,"2,5","4,5","3,0,1,4,2,5",0,0,1,0,0,1,0,0,0,0,1,1
0,4,0.9584079134373175,breast_cancer,xgboost,lr_heuristic,retrieve,True,0,0,True,0.9746328125506114,0.9746328125506114,0.02536718744938865,0.9,1,0.32297135604535715,-0.7565973639198303,0.0020827632707022437,0.9746328125506114,5.869557661813437,"0.904909,0.062547,0.285243,0.872378,0.974633","7.24999,7.86705,8.79166,6.16904,5.86956",0.9584079134373175,2,False,1.5,2.0,2.3695576618134373,5.869557661813437,0.02536718744938865,-0.7268602989133778,2,"2,5","4,5","3,0,1,4,2,5",0,0,1,0,0,1,0,0,0,0,1,1
0,5,0.0470735527580457,breast_cancer,xgboost,lr_heuristic,retrieve,True,1,0,False,0.9305957597158625,0.9305957597158625,0.06940424028413752,0.9,1,0.32297135604535715,-0.7565973639198303,0.0020827632707022437,0.06940424028413752,7.8408755117837385,"0.062547,0.285243,0.872378,0.974633,0.0694042","7.86705,8.79166,6.16904,5.86956,7.84088",0.0470735527580457,3,False,2.0,3.0,2.8408755117837385,7.8408755117837385,0.06940424028413752,-0.5662979832251803,3,"1,2,5","2,4,5","3,0,1,4,2,5",0,1,1,0,0,1,0,0,1,0,1,1
0,6,0.6709344384888177,breast_cancer,xgboost,lr_heuristic,retrieve,True,1,1,True,0.6923954847727002,0.3076045152272998,0.6923954847727002,0.9,1,0.32297135604535715,-0.7565973639198303,0.0020827632707022437,0.6923954847727002,7.4233334634662596,"0.285243,0.872378,0.974633,0.0694042,0.692395","8.79166,6.16904,5.86956,7.84088,7.42333",0.6709344384888177,3,False,2.0,3.0,2.4233334634662596,7.4233334634662596,0.6923954847727002,0.3841486443128491,3,"1,2,5","2,4,5","3,0,1,4,2,5",0,1,1,0,0,1,0,0,1,0,1,1
0,7,0.2836170053594188,breast_cancer,xgboost,lr_heuristic,retrieve,False,0,1,False,0.6875316090222368,0.31246839097776324,0.6875316090222368,1.8000000000000003,4,0.32297135604535715,-0.7565973639198303,0.0020827632707022437,0.31246839097776324,10.011404518053544,"0.872378,0.974633,0.0694042,0.692395,0.312468","6.16904,5.86956,7.84088,7.42333,10.0114",0.2836170053594188,4,False,2.5,4.0,3.511404518053544,10.011404518053544,0.6875316090222368,0.6812925084321277,4,"0,1,2,5","1,2,4,5","3,0,1,4,2,5",1,1,1,0,0,1,0,1,1,0,1,1
0,8,0.7583896273607309,breast_cancer,xgboost,lr_heuristic,retrieve,True,0,0,True,0.7865546126944963,0.7865546126944963,0.21344538730550366,0.9,1,0.32297135604535715,-0.7565973639198303,0.0020827632707022437,0.7865546126944963,9.68184220329869,"0.974633,0.0694042,0.692395,0.312468,0.786555","5.86956,7.84088,7.42333,10.0114,9.68184",0.7583896273607309,4,False,2.5,4.0,3.1818422032986895,9.68184220329869,0.21344538730550366,-0.18091568927699256,4,"0,1,2,5","1,2,4,5","3,0,1,4,2,5",1,1,1,0,0,1,0,1,1,0,1,1
0,9,0.7171248588881735,breast_cancer,xgboost,lr_heuristic,retrieve,False,0,0,True,0.7430306084353273,0.7430306084353273,0.25696939156467274,0.9,1,0.32297135604535715,-0.7565973639198303,0.0020827632707022437,0.7430306084353273,8.5971122109891,"0.0694042,0.692395,0.312468,0.786555,0.743031","7.84088,7.42333,10.0114,9.68184,8.59711",0.7171248588881735,4,False,2.5,4.0,2.0971122109890983,8.5971122109891,0.25696939156467274,-0.06424087893014344,4,"0,1,2,5","1,2,4,5","3,0,1,4,2,5",1,1,1,0,0,1,0,1,1,0,1,1
